open,high,low,close,tick_volume
90.88,90.93,90.86,90.86,200
90.85,90.9,90.78,90.87,261
90.86,91.07,90.83,91.01,314
91.02,91.08,90.89,91.05,402
91.04,91.18,91.02,91.1,302
91.11,91.16,91.05,91.05,201
91.04,91.13,91.04,91.06,242
91.07,91.15,91.04,91.09,273
91.1,91.15,90.99,91.15,382
91.14,91.27,91.08,91.11,433
91.1,91.11,91.01,91.08,403
91.07,91.17,91.04,91.16,399
91.17,91.23,91.1,91.17,345
91.16,91.24,91.11,91.22,308
91.21,91.62,91.16,91.42,576
91.43,91.5,91.24,91.32,477
91.33,91.35,91.11,91.25,527
91.26,91.27,90.95,90.95,373
90.94,91.09,90.84,90.89,296
90.9,91.01,90.82,90.95,436
90.94,91.1,90.89,91.1,311
91.09,91.14,91.02,91.05,305
91.04,91.13,91.03,91.03,176
91.04,91.09,90.98,91.01,229
91.0,91.02,90.96,90.99,184
91.0,91.0,90.86,90.9,267
90.91,90.92,90.78,90.87,311
90.86,90.99,90.86,90.96,257
90.97,91.0,90.92,90.99,243
90.98,91.04,90.96,91.01,200
91.0,91.16,90.99,91.08,297
91.09,91.09,90.93,90.95,233
90.94,90.95,90.48,90.58,642
90.57,90.62,90.22,90.24,680
90.25,90.42,90.13,90.16,485
90.15,90.35,90.12,90.29,442
90.28,90.4,90.23,90.38,292
90.39,90.41,90.29,90.38,320
90.37,90.53,90.32,90.4,566
90.39,90.73,90.2,90.67,785
90.68,91.35,90.58,91.06,854
91.07,91.1,90.81,91.01,613
91.0,91.0,90.64,90.82,465
90.83,91.01,90.83,90.95,312
90.96,91.03,90.87,90.9,348
90.91,90.91,90.79,90.79,263
90.8,90.97,90.75,90.92,265
90.93,90.94,90.87,90.89,183
90.9,90.91,90.85,90.87,203
90.86,91.04,90.83,91.04,330
91.03,91.21,91.02,91.14,339
91.15,91.15,90.99,91.08,339
91.09,91.14,91.04,91.04,266
91.05,91.09,91.0,91.03,191
91.04,91.1,91.02,91.08,282
91.09,91.17,91.05,91.07,300
91.08,91.12,90.83,90.94,470
90.93,90.96,90.52,90.56,597
90.55,90.82,90.55,90.72,412
90.73,90.73,90.57,90.68,326
90.69,90.93,90.68,90.89,404
90.9,91.45,90.9,91.26,724
91.25,91.61,91.18,91.33,774
91.34,91.43,91.26,91.36,607
91.35,91.43,91.03,91.14,796
91.13,91.2,91.09,91.15,495
91.16,91.32,91.13,91.25,308
91.26,91.28,91.14,91.17,247
91.18,91.23,91.02,91.15,347
91.14,91.19,91.12,91.17,225
91.18,91.18,91.05,91.07,224
91.08,91.09,90.99,91.06,225
91.07,91.21,91.07,91.19,193
91.2,91.24,91.12,91.2,249
91.21,91.23,91.14,91.2,264
91.19,91.35,91.18,91.26,407
91.25,91.42,91.12,91.35,406
91.34,91.35,91.19,91.22,183
91.21,91.24,91.15,91.22,283
91.23,91.25,91.04,91.08,349
91.09,91.16,91.02,91.08,467
91.07,91.36,91.04,91.25,463
91.26,91.32,91.11,91.11,374
91.1,91.46,91.09,91.3,443
91.29,91.39,91.22,91.27,265
91.28,91.39,91.22,91.3,224
