open,high,low,close
1268.52,1268.57,1268.01,1268.33
1268.24,1268.4,1267.78,1268.01
1268.19,1270.35,1267.92,1270.19
1270.19,1271.04,1269.65,1270.68
1270.72,1271.05,1269.46,1270.66
1270.66,1271.13,1270.12,1270.2
1270.28,1270.3,1269.24,1269.45
1269.45,1269.64,1266.67,1267.27
1267.27,1267.7,1266.3,1266.59
1266.59,1267.42,1261.72,1263.94
1263.94,1264.64,1263.94,1264.16
1264.16,1264.47,1264.04,1264.04
1264.04,1264.24,1263.24,1263.4
1263.39,1263.6,1262.9,1263.52
1263.52,1263.72,1263.05,1263.05
1263.05,1263.65,1262.94,1263.65
1263.6,1263.6,1263.21,1263.5
1263.5,1263.54,1262.51,1262.74
1262.73,1263.25,1262.3,1262.46
1262.46,1262.69,1262.05,1262.35
1262.32,1262.68,1261.71,1262.63
1262.63,1263.33,1262.54,1262.54
1262.54,1262.77,1262.46,1262.67
1262.67,1263.06,1262.54,1262.76
1262.76,1263.1,1262.49,1262.85
1262.85,1263.06,1262.57,1262.87
1262.87,1263.19,1262.47,1263.08
1263.08,1263.6,1262.77,1262.87
1262.87,1263.2,1262.57,1262.58
1262.58,1264.1,1262.57,1263.8
1263.87,1263.94,1262.64,1263.54
1263.54,1265.21,1263.54,1264.6
1264.6,1264.69,1262.21,1262.94
1262.9,1264.96,1262.75,1264.8
1265.9,1268.49,1265.9,1267.12
1267.12,1267.36,1263.95,1263.95
1263.95,1264.68,1262.95,1264.05
1264.05,1264.13,1258.09,1259.94
1259.97,1260.12,1254.6,1255.21
1255.21,1257.28,1254.24,1256.28
1256.25,1256.51,1254.16,1254.7
1254.7,1255.78,1254.29,1255.39
1255.39,1257.19,1254.98,1257.02
1257.01,1257.5,1256.75,1257.07
1257.0,1257.89,1256.77,1257.4
1257.4,1257.5,1256.51,1257.16
1257.16,1257.56,1256.72,1256.82
1256.86,1257.21,1256.5,1256.6
1256.37,1256.87,1255.79,1256.12
1256.12,1256.67,1255.49,1256.36
1256.36,1256.96,1255.84,1256.76
1256.76,1256.77,1256.15,1256.64
1256.64,1256.95,1256.15,1256.64
